"spec","null","gain_sd","phenotype","n","mean","sd","q025","q50","q975","q95","truth","bias","observed_lambda","share_of_excess","at_estimated_gain"
"matched","N5","0.01","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","no"
"matched","N5","0.02","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","no"
"matched","N5","0.03","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","no"
"matched","N5","0.0419763","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","yes"
"matched","N5","0.05","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","no"
"matched","N5","0.1","accuracy","500","0.999708","0.0379022","0.934044","0.998163","1.08042","1.06762","1","-0.000292438","1.07837","-0.00373135","no"
"matched","N5","0.01","margin","500","1.00085","0.0345659","0.94053","0.999326","1.07264","1.06034","1","0.000848911","1.24395","0.00347986","no"
"matched","N5","0.02","margin","500","1.00337","0.0352905","0.940249","1.00091","1.07483","1.06376","1","0.0033737","1.24395","0.0138295","no"
"matched","N5","0.03","margin","500","1.0075","0.0364012","0.939772","1.00458","1.08371","1.06857","1","0.00749741","1.24395","0.0307334","no"
"matched","N5","0.0419763","margin","500","1.01428","0.0380504","0.940557","1.01131","1.09096","1.0806","1","0.014276","1.24395","0.0585202","yes"
"matched","N5","0.05","margin","500","1.01975","0.0392376","0.945043","1.01783","1.09807","1.08817","1","0.0197522","1.24395","0.0809684","no"
"matched","N5","0.1","margin","500","1.06238","0.0449859","0.97864","1.06018","1.15753","1.14073","1","0.0623818","1.24395","0.255716","no"
"registered","N5","0.01","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","no"
"registered","N5","0.02","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","no"
"registered","N5","0.03","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","no"
"registered","N5","0.0419763","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","yes"
"registered","N5","0.05","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","no"
"registered","N5","0.1","accuracy","500","0.999973","0.0470538","0.904099","1.00081","1.09828","1.07139","1","-2.66599e-05","1.07837","-0.000340166","no"
"registered","N5","0.01","margin","500","1.00696","0.0443515","0.920606","1.00725","1.09334","1.07452","1","0.00695895","1.24395","0.0285261","no"
"registered","N5","0.02","margin","500","1.02637","0.0448523","0.93624","1.02747","1.11372","1.09693","1","0.0263692","1.24395","0.108093","no"
"registered","N5","0.03","margin","500","1.05752","0.0457108","0.959943","1.05838","1.14837","1.12871","1","0.0575195","1.24395","0.235784","no"
"registered","N5","0.0419763","margin","500","1.10811","0.047087","1.01326","1.10986","1.2008","1.18274","1","0.108106","1.24395","0.443146","yes"
"registered","N5","0.05","margin","500","1.14865","0.0481473","1.05307","1.14934","1.24028","1.22778","1","0.148655","1.24395","0.609366","no"
"registered","N5","0.1","margin","500","1.46466","0.0547368","1.35511","1.46547","1.57252","1.55237","1","0.464662","1.24395","1.90474","no"
