phenotype,trait,b_competence,c_gain,terms
"margin","arc_challenge","1.34384e-06","","x"
"margin","arc_easy","9.42372e-07","","x"
"margin","boolq","-8.94803e-06","","x"
"margin","csqa","-2.14495e-06","","x"
"margin","hellaswag","-5.82243e-08","","x"
"margin","mmlu","-3.37692e-07","","x"
"margin","openbookqa","2.20125e-07","","x"
"margin","piqa","5.31381e-07","","x"
"margin","socialiqa","-1.86819e-06","","x"
"margin","winogrande","3.1167e-05","","x"
"margin","arc_challenge","","0.109648","s"
"margin","arc_easy","","0.237056","s"
"margin","boolq","","-0.430948","s"
"margin","csqa","","0.57896","s"
"margin","hellaswag","","0.000840225","s"
"margin","mmlu","","0.106739","s"
"margin","openbookqa","","0.0866701","s"
"margin","piqa","","-0.00230168","s"
"margin","socialiqa","","0.239961","s"
"margin","winogrande","","-0.00105394","s"
"margin","arc_challenge","1.504e-06","0.110281","x+s"
"margin","arc_easy","1.26969e-06","0.236637","x+s"
"margin","boolq","-9.50165e-06","-0.429152","x+s"
"margin","csqa","-1.60455e-06","0.579379","x+s"
"margin","hellaswag","-5.50541e-08","0.000821947","x+s"
"margin","mmlu","-2.33567e-07","0.107366","x+s"
"margin","openbookqa","2.46645e-07","0.0867075","x+s"
"margin","piqa","5.17804e-07","-0.0024086","x+s"
"margin","socialiqa","-1.46817e-06","0.238586","x+s"
"margin","winogrande","9.21941e-05","-0.00244909","x+s"
"accuracy","arc_challenge","3.51451e-07","","x"
"accuracy","arc_easy","-3.8127e-07","","x"
"accuracy","boolq","-1.11756e-06","","x"
"accuracy","csqa","3.22251e-09","","x"
"accuracy","hellaswag","1.16238e-07","","x"
"accuracy","mmlu","-6.2553e-08","","x"
"accuracy","openbookqa","-2.04267e-07","","x"
"accuracy","piqa","7.85939e-08","","x"
"accuracy","socialiqa","-3.23854e-07","","x"
"accuracy","winogrande","4.05333e-07","","x"
"accuracy","arc_challenge","","0.0279384","s"
"accuracy","arc_easy","","0.258272","s"
"accuracy","boolq","","-0.239492","s"
"accuracy","csqa","","0.314031","s"
"accuracy","hellaswag","","0.00411331","s"
"accuracy","mmlu","","0.00855394","s"
"accuracy","openbookqa","","-0.0687596","s"
"accuracy","piqa","","-0.00179233","s"
"accuracy","socialiqa","","0.0954426","s"
"accuracy","winogrande","","0.00355384","s"
"accuracy","arc_challenge","3.38407e-07","0.0280255","x+s"
"accuracy","arc_easy","-3.85759e-07","0.258338","x+s"
"accuracy","boolq","-1.11295e-06","-0.239246","x+s"
"accuracy","csqa","-7.53883e-09","0.313972","x+s"
"accuracy","hellaswag","1.19293e-07","0.00396925","x+s"
"accuracy","mmlu","-6.1356e-08","0.00890996","x+s"
"accuracy","openbookqa","-2.08267e-07","-0.0674227","x+s"
"accuracy","piqa","8.03312e-08","-0.00198624","x+s"
"accuracy","socialiqa","-3.20187e-07","0.0955771","x+s"
"accuracy","winogrande","4.13411e-07","0.00399726","x+s"
