null,rbar_E_true,phenotype,contrast,n,mean,sd,q025,q50,q975,q95,truth,bias,observed,p_perm,gain_sd,offset_sd,terms,lambda_before
"N1","0","margin","all","2000","1.00092","0.045812","0.91215","1.00123","1.08883","1.07518","1","0.000918002","","","","","",""
"N1","0","margin","batch_free","2000","0.998631","0.0647558","0.870102","0.998366","1.12816","1.10328","1","-0.00136873","","","","","",""
"N1","0","accuracy","all","2000","1.00039","0.0482241","0.905201","1.00051","1.09342","1.07958","1","0.000394547","","","","","",""
"N1","0","accuracy","batch_free","2000","0.997644","0.0674445","0.868188","0.997479","1.13044","1.105","1","-0.00235584","","","","","",""
"N1","0.05","margin","all","2000","1.20483","0.0514878","1.10469","1.20524","1.30274","1.28907","1.20416","0.000674192","","","","","",""
"N1","0.05","margin","batch_free","2000","1.20225","0.0725726","1.05888","1.20236","1.34402","1.31803","1.20416","-0.00191396","","","","","",""
"N1","0.05","accuracy","all","2000","1.20436","0.0534936","1.10077","1.20466","1.30532","1.29113","1.20416","0.000204669","","","","","",""
"N1","0.05","accuracy","batch_free","2000","1.20136","0.0748772","1.05709","1.20292","1.34719","1.31895","1.20416","-0.00279498","","","","","",""
"N1","0.1","margin","all","2000","1.37878","0.05531","1.27042","1.37971","1.4813","1.46872","1.3784","0.000378505","","","","","",""
"N1","0.1","margin","batch_free","2000","1.37599","0.0777755","1.2235","1.37566","1.52617","1.50083","1.3784","-0.00241482","","","","","",""
"N1","0.1","accuracy","all","2000","1.37823","0.05712","1.2661","1.3788","1.48539","1.4697","1.3784","-0.000178842","","","","","",""
"N1","0.1","accuracy","batch_free","2000","1.37506","0.0798446","1.22048","1.37727","1.52885","1.50211","1.3784","-0.00334964","","","","","",""
"N1","0.2","margin","all","2000","1.67303","0.0591216","1.55203","1.67482","1.78011","1.76661","1.67332","-0.000289474","","","","","",""
"N1","0.2","margin","batch_free","2000","1.66998","0.0828926","1.50185","1.66977","1.8256","1.8041","1.67332","-0.00333771","","","","","",""
"N1","0.2","accuracy","all","2000","1.67239","0.0608157","1.55024","1.67314","1.78521","1.76678","1.67332","-0.000927198","","","","","",""
"N1","0.2","accuracy","batch_free","2000","1.66896","0.0848866","1.50312","1.67154","1.82613","1.80582","1.67332","-0.00436313","","","","","",""
"N1","0.3","margin","all","2000","1.92258","0.0592468","1.80241","1.92356","2.03171","2.01576","1.92354","-0.000956003","","","","","",""
"N1","0.3","margin","batch_free","2000","1.91941","0.0830246","1.75139","1.92024","2.07323","2.05165","1.92354","-0.00412844","","","","","",""
"N1","0.3","accuracy","all","2000","1.92204","0.0609346","1.79951","1.9238","2.03459","2.01732","1.92354","-0.00149719","","","","","",""
"N1","0.3","accuracy","batch_free","2000","1.91839","0.0850741","1.74734","1.92127","2.08351","2.05048","1.92354","-0.00514715","","","","","",""
"N1","0.5","margin","all","2000","2.34326","0.051706","2.24093","2.34476","2.43832","2.42539","2.34521","-0.00194722","","","","","",""
"N1","0.5","margin","batch_free","2000","2.34017","0.0727802","2.19066","2.34352","2.47308","2.45189","2.34521","-0.00503783","","","","","",""
"N1","0.5","accuracy","all","2000","2.34292","0.0534779","2.23611","2.34509","2.44053","2.42583","2.34521","-0.00228491","","","","","",""
"N1","0.5","accuracy","batch_free","2000","2.33954","0.0750925","2.18939","2.34489","2.47931","2.45397","2.34521","-0.00566516","","","","","",""
"N2","","margin","","500","1.00101","0.0484065","0.898338","1.00131","1.09464","1.07918","1","0.00101166","1.24395","0","","","",""
"N2","","accuracy","","500","0.998422","0.0388576","0.921519","0.996634","1.07993","1.06651","1","-0.00157754","1.07837","0.028","","","",""
"N5","","margin","","2000","1.14771","0.0503272","1.05045","1.14727","1.24923","1.2316","1","0.147712","","","0.05","","",""
"N5","","accuracy","","2000","0.998569","0.0480303","0.90546","0.998183","1.09567","1.07935","1","-0.00143133","","","0.05","","",""
"N6","","margin","all","2000","1.00375","0.0442229","0.917965","1.00451","1.09143","1.0763","1","0.00375219","","","","0.05","",""
"N6","","margin","batch_free","2000","1.00044","0.062244","0.880475","0.9997","1.11968","1.10042","1","0.000443949","","","","0.05","",""
"N6","","accuracy","all","2000","1.00298","0.046747","0.912015","1.00378","1.09531","1.08058","1","0.00298306","","","","0.05","",""
"N6","","accuracy","batch_free","2000","1.00032","0.0654659","0.86967","1.0008","1.12733","1.10636","1","0.000322453","","","","0.05","",""
"N4","","margin","","500","1.091","0.0964081","","","","","","","","","","","x+s","1.24502"
"N4","","accuracy","","500","1.10445","0.0621122","","","","","","","","","","","x+s","1.11831"
