phenotype,label,contrast,Lambda,K_eff,rbar_E,sigma_agg,sigma_indep,N,K,df_per_config,t_lo,t_hi,t_se,wild_lo,wild_hi,wild_se,config_lo,config_hi,config_se,retained_excess
"margin","full contrast set","all","1.24395","6.46241","0.0608235","0.00571586","0.00459493","125","10","2","1.1473","1.33361","0.04501","1.1429","1.33768","0.04501","1.06938","1.42554","0.0928082",""
"margin","batch-free contrast","batch_free","1.25558","6.3432","0.0640546","0.00562103","0.00447683","125","10","1","1.10225","1.39213","0.0697585","1.08993","1.40018","0.0697585","1.02938","1.45681","0.108085",""
"margin","after competence","all","1.24399","6.46194","0.0608357","0.00570493","0.00458598","125","10","2","1.14684","1.33409","0.0452329","1.14215","1.33961","0.0452329","1.0691","1.42466","0.09275","1.00018"
"margin","after gain","all","1.27503","6.15119","0.0695223","0.00513705","0.00402897","125","10","2","1.11742","1.4152","0.0716463","1.1111","1.42094","0.0716463","1.16555","1.38471","0.0565707","1.1274"
"margin","after competence and gain","all","1.27574","6.14439","0.0697223","0.00512565","0.0040178","125","10","2","1.11885","1.41534","0.0713417","1.11201","1.42115","0.0713417","1.16645","1.38514","0.0563754","1.13029"
"accuracy","full contrast set","all","1.07837","8.59927","0.0180988","0.00514198","0.00476827","125","10","2","0.99753","1.15357","0.037702","0.992604","1.15665","0.037702","0.975546","1.18241","0.0518228",""
"accuracy","batch-free contrast","batch_free","1.08379","8.51358","0.0193994","0.00516042","0.00476147","125","10","1","0.958365","1.19613","0.0572534","0.938593","1.20702","0.0572534","0.951654","1.20735","0.0657761",""
"accuracy","after competence","all","1.07595","8.63804","0.0175188","0.00511608","0.00475494","125","10","2","0.995524","1.15077","0.0375119","0.991262","1.15374","0.0375119","0.972595","1.17979","0.052273","0.969085"
"accuracy","after gain","all","1.09677","8.31321","0.022545","0.00502552","0.0045821","125","10","2","0.993039","1.1915","0.0478832","0.979892","1.19775","0.0478832","0.991836","1.20037","0.0532149","1.23473"
"accuracy","after competence and gain","all","1.09415","8.35303","0.0219078","0.00499847","0.00456835","125","10","2","0.989886","1.18931","0.0481124","0.977282","1.19609","0.0481124","0.986622","1.19881","0.0539596","1.20134"
