phenotype,trait,sigma_E2,noise2,reliability
"margin","arc_challenge","1.5412e-05","1.09757e-05","0.584062"
"margin","arc_easy","8.21815e-05","6.50813e-06","0.926619"
"margin","boolq","0.00143369","9.75099e-06","0.993245"
"margin","csqa","0.000434014","3.28384e-05","0.92966"
"margin","hellaswag","6.7254e-07","2.16017e-07","0.75689"
"margin","mmlu","1.42063e-05","2.31421e-06","0.859919"
"margin","openbookqa","3.25515e-05","5.05757e-05","0.391586"
"margin","piqa","7.25654e-07","1.92891e-06","0.273361"
"margin","socialiqa","9.8193e-05","1.2403e-05","0.887853"
"margin","winogrande","-3.15049e-07","3.99682e-06","-0.0855699"
"accuracy","arc_challenge","2.5308e-05","9.94537e-05","0.202851"
"accuracy","arc_easy","9.12917e-05","6.04067e-05","0.601797"
"accuracy","boolq","0.00191879","5.90912e-05","0.970124"
"accuracy","csqa","0.000183335","0.000115007","0.614511"
"accuracy","hellaswag","6.29036e-06","7.69808e-06","0.449683"
"accuracy","mmlu","3.35289e-07","1.5159e-05","0.0216396"
"accuracy","openbookqa","2.31467e-05","0.000231552","0.0908786"
"accuracy","piqa","-1.49348e-06","5.40494e-05","-0.0284169"
"accuracy","socialiqa","4.95421e-05","6.96218e-05","0.415747"
"accuracy","winogrande","-2.2901e-05","0.000247785","-0.101834"
