split_seed,phenotype,Lambda,K_eff,rbar_E,wild_lo,wild_hi,wild_se,negative_diagonals,min_diagonal,diag_arc_challenge,diag_arc_easy,diag_boolq,diag_csqa,diag_hellaswag,diag_mmlu,diag_openbookqa,diag_piqa,diag_socialiqa,diag_winogrande
"1","margin","1.24404","6.46146","0.0608486","1.14364","1.3376","0.0449693","1","-5.15708e-08","1.33506e-05","8.08148e-05","0.0014338","0.000435126","6.78738e-07","1.40933e-05","3.10842e-05","6.03418e-07","9.90466e-05","-5.15708e-08"
"1","accuracy","1.07409","8.66804","0.0170736","0.982286","1.15981","0.041834","3","-2.27249e-06","1.75968e-05","8.96488e-05","0.0019194","0.000186579","5.40744e-06","-1.00996e-06","3.25973e-05","-3.48899e-07","5.26403e-05","-2.27249e-06"
"2","margin","1.24306","6.47166","0.0605776","1.14175","1.33703","0.0452754","1","-7.46421e-08","1.40521e-05","8.2151e-05","0.00143308","0.000435773","6.74785e-07","1.39401e-05","3.01898e-05","6.48275e-07","9.80474e-05","-7.46421e-08"
"2","accuracy","1.08569","8.48373","0.0198586","1.00363","1.16119","0.0375809","2","-1.33658e-05","1.5935e-05","9.02072e-05","0.00191783","0.000180501","5.41807e-06","2.7913e-06","3.56267e-05","-5.45925e-06","4.52593e-05","-1.33658e-05"
"3","margin","1.24688","6.43209","0.0616339","1.14297","1.34261","0.0461993","1","-3.7053e-07","1.45526e-05","8.19443e-05","0.00140258","0.000431317","6.63146e-07","1.35745e-05","3.04088e-05","6.7222e-07","9.71249e-05","-3.7053e-07"
"3","accuracy","1.08189","8.5434","0.0189438","0.986283","1.17054","0.0428793","2","-3.72801e-05","1.56748e-05","8.77603e-05","0.00185671","0.000186372","5.02823e-06","1.02812e-06","1.7344e-05","-2.67437e-06","4.82165e-05","-3.72801e-05"
"4","margin","1.24486","6.45296","0.0610752","1.14385","1.33871","0.0452102","1","-7.5184e-07","1.52701e-05","8.13056e-05","0.00143003","0.000433526","6.83554e-07","1.44202e-05","3.02697e-05","7.19626e-07","9.85931e-05","-7.5184e-07"
"4","accuracy","1.08044","8.56634","0.0185955","0.995912","1.15707","0.0376839","2","-1.0884e-05","1.57641e-05","9.08741e-05","0.00191289","0.000181174","5.86249e-06","2.15104e-06","2.2592e-05","-5.27296e-07","4.51601e-05","-1.0884e-05"
"5","margin","1.24603","6.44085","0.0613989","1.14405","1.34059","0.0454624","1","-4.11978e-09","1.3777e-05","8.11884e-05","0.00143259","0.000433938","6.74195e-07","1.41575e-05","3.07239e-05","6.4551e-07","9.85377e-05","-4.11978e-09"
"5","accuracy","1.09098","8.40165","0.0211381","1.00717","1.1681","0.0380245","3","-1.24156e-05","1.02971e-05","8.03319e-05","0.00191268","0.000184748","5.45906e-06","-4.65905e-07","3.06987e-05","-2.9317e-06","4.25802e-05","-1.24156e-05"
"6","margin","1.24617","6.43938","0.0614384","1.14414","1.34129","0.0450127","1","-1.56027e-07","1.36724e-05","8.1315e-05","0.00143226","0.000433149","6.8483e-07","1.39307e-05","2.74455e-05","7.06869e-07","9.72054e-05","-1.56027e-07"
"6","accuracy","1.09405","8.3546","0.0218828","1.00377","1.17627","0.0406616","2","-2.41435e-05","1.42615e-05","8.82166e-05","0.00191394","0.000179972","5.18224e-06","1.06089e-06","1.6064e-05","-3.61529e-06","4.51071e-05","-2.41435e-05"
"7","margin","1.25149","6.3848","0.0629132","1.15211","1.34404","0.0448572","1","-1.88046e-07","1.42538e-05","8.19562e-05","0.00140612","0.000435329","6.76796e-07","1.41365e-05","2.48924e-05","6.81589e-07","9.47534e-05","-1.88046e-07"
"7","accuracy","1.09625","8.32111","0.0224181","1.00472","1.18137","0.0423618","2","-1.69374e-05","1.55544e-05","8.47041e-05","0.00185598","0.000189702","5.46842e-06","7.12994e-07","3.1552e-05","-4.32572e-06","4.05533e-05","-1.69374e-05"
"8","margin","1.24818","6.41871","0.0619939","1.14595","1.3435","0.045509","1","-6.05331e-07","1.41464e-05","8.18914e-05","0.00143056","0.000430705","6.77214e-07","1.38268e-05","2.95611e-05","7.11315e-07","9.39385e-05","-6.05331e-07"
"8","accuracy","1.08395","8.51106","0.0194379","0.991835","1.1664","0.0414053","2","-1.45253e-05","1.02078e-05","9.43479e-05","0.00190711","0.000180079","5.5678e-06","1.04599e-06","3.72907e-05","-1.81238e-06","4.82598e-05","-1.45253e-05"
"9","margin","1.24709","6.42987","0.0616934","1.14439","1.34186","0.0452215","1","-3.13629e-07","1.37797e-05","8.15071e-05","0.00141522","0.000433126","6.7792e-07","1.38631e-05","2.66412e-05","6.89496e-07","9.82301e-05","-3.13629e-07"
"9","accuracy","1.08429","8.50574","0.0195196","1.00349","1.15863","0.0361969","2","-4.18816e-05","9.79627e-06","8.62601e-05","0.00189109","0.000193427","5.46736e-06","8.70754e-07","1.99467e-05","-2.86382e-06","5.1601e-05","-4.18816e-05"
"10","margin","1.2501","6.39897","0.0625279","1.14682","1.34646","0.0459358","1","-2.41756e-07","1.39396e-05","8.11617e-05","0.00141513","0.000429734","6.77747e-07","1.41098e-05","2.63911e-05","6.1723e-07","9.71208e-05","-2.41756e-07"
"10","accuracy","1.08112","8.55559","0.0187584","0.99297","1.16038","0.0402017","2","-4.3988e-06","8.85664e-06","8.94041e-05","0.00188952","0.000184665","4.83371e-06","8.03686e-07","1.59787e-05","-3.78421e-06","5.03983e-05","-4.3988e-06"
"11","margin","1.24689","6.43199","0.0616365","1.1458","1.34099","0.0449523","1","-3.21277e-07","1.44575e-05","8.11882e-05","0.00142299","0.000437282","6.77872e-07","1.39111e-05","2.63871e-05","5.5425e-07","9.887e-05","-3.21277e-07"
"11","accuracy","1.07496","8.65389","0.0172833","0.98555","1.1563","0.0400485","2","-9.76772e-06","1.77909e-05","8.57122e-05","0.0019053","0.000189413","6.09113e-06","5.3482e-07","1.1264e-05","-2.51807e-06","5.20648e-05","-9.76772e-06"
"12","margin","1.24715","6.42928","0.0617093","1.14554","1.3414","0.0455113","1","-3.99305e-07","1.53748e-05","8.14193e-05","0.00143382","0.00043298","6.72159e-07","1.3811e-05","2.35278e-05","5.68553e-07","9.80482e-05","-3.99305e-07"
"12","accuracy","1.08149","8.54972","0.0188477","0.992136","1.16374","0.0407154","2","-2.21136e-05","1.01845e-05","8.56262e-05","0.00191421","0.000185166","5.85435e-06","9.98763e-07","3.16373e-05","-3.20482e-06","4.86858e-05","-2.21136e-05"
"13","margin","1.24547","6.44666","0.0612433","1.1427","1.34027","0.0453677","1","-1.5727e-07","1.38115e-05","8.13797e-05","0.0014318","0.000433725","6.5713e-07","1.39204e-05","3.07142e-05","5.40501e-07","9.70753e-05","-1.5727e-07"
"13","accuracy","1.09894","8.28042","0.0230742","1.01125","1.18005","0.0403947","1","-1.77978e-05","1.22463e-05","9.21873e-05","0.00190998","0.000178534","5.04442e-06","3.20868e-07","1.48907e-05","1.54084e-06","4.91523e-05","-1.77978e-05"
"14","margin","1.24594","6.44177","0.0613744","1.14324","1.34108","0.0455551","1","-4.14597e-07","1.44715e-05","8.12465e-05","0.00143107","0.000432168","6.64436e-07","1.39224e-05","3.0034e-05","6.46139e-07","9.78387e-05","-4.14597e-07"
"14","accuracy","1.07622","8.63368","0.0175838","0.982695","1.16074","0.0405776","3","-1.91069e-05","1.36092e-05","8.797e-05","0.00189957","0.000185764","4.90939e-06","-1.73213e-07","2.71787e-05","-6.50752e-06","4.96887e-05","-1.91069e-05"
"15","margin","1.24553","6.446","0.0612611","1.14308","1.34066","0.0453717","1","-7.27845e-07","1.42211e-05","8.10982e-05","0.00142474","0.000435668","6.89875e-07","1.39904e-05","2.58044e-05","7.52014e-07","9.90255e-05","-7.27845e-07"
"15","accuracy","1.09016","8.41441","0.0209376","0.995873","1.17613","0.0420806","3","-3.19976e-05","1.79074e-05","8.76101e-05","0.00189907","0.000186572","5.19467e-06","-1.19557e-07","7.70133e-06","-2.75646e-06","5.12616e-05","-3.19976e-05"
"16","margin","1.24536","6.44776","0.0612141","1.14439","1.33966","0.0452513","1","-1.64894e-07","1.34168e-05","8.161e-05","0.00142022","0.000433229","6.6541e-07","1.37236e-05","2.43582e-05","7.11699e-07","9.74053e-05","-1.64894e-07"
"16","accuracy","1.08367","8.51537","0.019372","1.00024","1.15875","0.0368143","2","-1.39207e-05","1.40169e-05","8.64434e-05","0.00189213","0.000180272","5.58964e-06","1.99183e-06","2.57493e-05","-3.44321e-06","4.61128e-05","-1.39207e-05"
"17","margin","1.2444","6.45777","0.060947","1.14251","1.33885","0.045347","1","-1.8153e-07","1.50215e-05","8.17172e-05","0.00143126","0.000434315","6.76116e-07","1.42065e-05","3.03277e-05","6.71676e-07","9.70568e-05","-1.8153e-07"
"17","accuracy","1.08439","8.50415","0.0195441","0.993439","1.16738","0.0416816","2","-9.02683e-06","1.22541e-05","8.95175e-05","0.00191398","0.000172205","6.18373e-06","1.83491e-06","3.2128e-05","-4.57358e-06","4.4681e-05","-9.02683e-06"
"18","margin","1.24471","6.45451","0.0610337","1.14256","1.3402","0.0457788","1","-2.92544e-07","1.40441e-05","8.19905e-05","0.00142939","0.000434973","6.70335e-07","1.39251e-05","2.957e-05","5.61152e-07","9.76256e-05","-2.92544e-07"
"18","accuracy","1.08461","8.5006","0.0195986","0.992448","1.16837","0.0419933","1","-4.36956e-05","1.80821e-05","8.8159e-05","0.00190875","0.000186883","5.86556e-06","1.76472e-06","1.65547e-05","5.27296e-07","4.92669e-05","-4.36956e-05"
"19","margin","1.24774","6.42321","0.0618727","1.14571","1.34239","0.0455454","1","-5.04404e-07","1.44374e-05","8.10813e-05","0.001426","0.000432221","6.74091e-07","1.41412e-05","3.03434e-05","6.04236e-07","9.83274e-05","-5.04404e-07"
"19","accuracy","1.08456","8.5014","0.0195863","0.997891","1.16405","0.0394245","2","-2.80971e-05","6.14645e-06","8.65038e-05","0.00190845","0.000179736","5.79987e-06","1.37469e-06","2.11627e-05","-4.63515e-06","4.37563e-05","-2.80971e-05"
"20","margin","1.24329","6.46929","0.0606405","1.14219","1.33696","0.0450559","1","-3.44007e-07","1.45588e-05","8.22569e-05","0.00143223","0.000433577","6.93631e-07","1.42117e-05","3.00977e-05","7.13501e-07","9.78757e-05","-3.44007e-07"
"20","accuracy","1.08538","8.48854","0.0197844","0.995712","1.16592","0.0404526","2","-2.19309e-05","1.2984e-05","8.81505e-05","0.00191079","0.000179378","4.67531e-06","8.2065e-07","2.4256e-05","-9.20873e-06","5.0742e-05","-2.19309e-05"
"21","margin","1.24563","6.44503","0.0612869","1.14416","1.34004","0.0456069","1","-2.66143e-07","1.4237e-05","8.15972e-05","0.00143346","0.000434711","6.55306e-07","1.41084e-05","1.63775e-05","6.82754e-07","9.78561e-05","-2.66143e-07"
"21","accuracy","1.08707","8.46219","0.020192","0.995449","1.16922","0.0407634","2","-3.21803e-05","1.74376e-05","8.50754e-05","0.00191634","0.000183471","5.10344e-06","9.29547e-07","1.15413e-05","-1.32613e-07","4.83478e-05","-3.21803e-05"
"22","margin","1.24634","6.43763","0.0614852","1.14458","1.34084","0.0451483","1","-6.4995e-07","1.39804e-05","8.05949e-05","0.00143324","0.000435533","6.73635e-07","1.41883e-05","1.909e-05","7.08499e-07","9.76851e-05","-6.4995e-07"
"22","accuracy","1.07637","8.63131","0.0176192","0.982971","1.16066","0.0420553","2","-4.0556e-05","1.25181e-05","8.9441e-05","0.00191682","0.000193784","5.24878e-06","1.13571e-06","2.25493e-05","-4.973e-07","4.47271e-05","-4.0556e-05"
"23","margin","1.24476","6.454","0.0610475","1.14323","1.33904","0.0455816","1","-2.90762e-07","1.4605e-05","8.18044e-05","0.00143188","0.000435942","6.77987e-07","1.41379e-05","2.71194e-05","6.84884e-07","9.88258e-05","-2.90762e-07"
"23","accuracy","1.06589","8.80187","0.0151247","0.971987","1.15039","0.0425687","2","-2.38811e-05","1.74609e-05","9.17131e-05","0.00190933","0.000178745","5.13322e-06","8.59613e-07","1.27573e-05","-2.31126e-06","4.38415e-05","-2.38811e-05"
"24","margin","1.24396","6.46233","0.0608255","1.14497","1.33652","0.0447176","1","-1.66738e-07","1.46372e-05","8.12227e-05","0.00143096","0.000434979","6.80676e-07","1.40896e-05","3.00459e-05","5.99031e-07","9.73981e-05","-1.66738e-07"
"24","accuracy","1.08201","8.54157","0.0189717","0.994411","1.16178","0.0399978","2","-1.58543e-05","2.07962e-05","8.91708e-05","0.0019095","0.000176058","5.85715e-06","8.74216e-07","3.26187e-05","-4.16153e-06","4.63237e-05","-1.58543e-05"
